# index, label, value, _pos
105,WakeForest,0,"array([-5.215683 , 20.8468344])"
106,Indiana,2,"array([-4.69896196, 20.69018493])"
107,OklahomaState,3,"array([-4.78152612, 20.28617825])"
108,OregonState,8,"array([-4.30025617, 20.17759766])"
109,Maryland,0,"array([-5.08928897, 20.8035354 ])"
110,TexasChristian,4,"array([-4.58852944, 20.54289011])"
111,California,8,"array([-4.27895016, 20.27166146])"
112,AlabamaBirmingham,4,"array([-5.10242621, 20.41428282])"
113,Arkansas,9,"array([-5.18651072, 20.27710788])"
114,Hawaii,11,"array([-4.50763025, 20.47022013])"
