text,ipc_codes,APPLN_YR
"Integrated capacitor in an integrated circuit An integrated capacitor includes a semiconductor substrate comprising a trench isolation area; a first interlayer dielectric (ILD) layer covering the trench isolation area; a first electrode plate comprising at least a first contact layer in the first ILD layer, wherein the contact layer is disposed directly on the trench isolation area; a second electrode plate in the first ILD layer; and a capacitor dielectric structure between the first electrode plate and the second electrode plate.
","H01L49, H01L23",2016
"Conveyor belt A novel conveyor belt is described. This novel conveyor belt consists of a traditional conveyor belt made of metallic wires in which these metallic wires can have, in cross-section, any convenient shape and in which the holes or spaces between the wires contain a solid substance. The metallic wires and the solid substance are preferably refractory.In order to obtain the belt with solid substance in its holes, in the said holes between the wires a plastic or liquid substance, as for example mortar, clay or similar products, is introduced, which posteriorly will harden by drying or setting or by drying and firing at a high temperature.The conveyor belt according to the invention is destined essentially for the continous cellular glass manufacturing.  ",B65G15,1988
"REFRIGERATOR A refrigerator is provided. More specifically, a refrigerator having a rotation guard unit is disclosed. A part of disclosed embodiments provides a refrigerator, in which a door guard of a rotation guard unit rotates in one direction among the clockwise direction and the counterclockwise direction when the rotation guard unit is moved forward.","F25D25, F25D23",2017
"YARN SPLICING NOZZLE AND WINDING DEVICE A yarn splicing nozzle (100) includes a nozzle body (110), an upstream splicing chamber (113U) formed in the nozzle body (110) and having a planar flat wall (114U) at a part of an inner wall, a downstream splicing chamber (113D) formed in the nozzle body (110), communicatively connected to the upstream splicing chamber (113U), and having a planar flat wall (114D) at a part of an inner wall, a first upstream injection hole (HU1) and a second upstream injection hole (HU2) formed in the nozzle body (110) and configured to inject compressed air toward the upstream splicing chamber (113U), and a first downstream injection hole (HD1) and a second downstream injection hole (HD2) formed in the nozzle body (110) and configured to inject compressed air toward the downstream splicing chamber (113D). The first upstream injection hole (HU1) injects compressed air along the flat wall (114U) of the upstream splicing chamber (113U). The first downstream injection hole (HD1) injects compressed air along the flat wall (114D) of the downstream splicing chamber (113D).
",B65H69,2022
"Network support for number dialed identification with multi-line mobiles Embodiments of the system, and method provide for identification of a number being dialed on an incoming call to a multi-line terminal. The method may have the steps of: receiving a call at a network, the call being for a multi-line terminal having at least two different numbers; checking a mobile subscriber database for a data entry indicative of the terminal being a multi-line mobile terminal; and presenting not only caller identification information to the called terminal, but also presenting the number that was dialed by the calling party so that a called party would know which of the at least two different numbers was being called. The multi-line terminal may be a multi-line mobile terminal that has at least two distinct and independent numbers assigned thereto.
",H04Q7,2006
"LIDAR SYSTEM WITH SYNCHRONIZED MEMS MIRRORS In one embodiment, a light detection and range (LIDAR) device includes a light source to emit a light beam to scan a range of orientations associated with a target scanning zone. The LIDAR device further includes a first microelectromechanical system (MEMS) mirror configured to receive and redirect the light beam towards to the target scanning zone. The first MEMS mirror is configured to tilt vertically and horizontally to redirect the light beam in a plurality of angles. The LIDAR device further includes a light detector to receive the light beam reflected from one or more objects located within the target scanning zone. The first MEMS mirror tilts in multiple directions with respect to the light source to allow the light source to emit the light beam and the light detector to receive the reflected light beam to obtain multiple angular resolutions of the one or more objects.
","G01S17, G01S7",2018
"Apparatus and method for pretreating of fuel The invention provides an apparatus and method for pretreating of fuel supplied to a combustion process, comprising an inlet for providing volatilised or gaseous fuel to the apparatus; and an electric charging apparatus (50) comprising a heating chamber for heating the volatilised or gaseous fuel and an electric reaction chamber (51) for electrically charging and/or discharging the volatilised or gaseous fuel. Preferably, the electric reaction chamber is a triboelectric reactor adapted to electrically charge the fuel by a triboelectric process. The triboelectric reactor may essentially be made of ceramics. The triboelectric reactor may comprise at least one fuel conductor having such a small width or diameter that the volatilised or gaseous fuel is charged during its flowing through due to a triboelectric effect.
","F02M27, F02M31",2007
CLOTHING-TYPE WEARABLE DEVICE FOR MEASURING MUSCLE ACTIVATION AND MANUFACTURING METHOD THEREFOR A clothing-type wearable device for measuring muscle activation and a manufacturing method therefor are disclosed. The disclosed manufacturing method for the clothing-type wearable device comprises the steps of: (a) forming a clothing pattern on a fabric part; (b) attaching at least one strain sensor generated by means of a conductive solution to at least one location inside the clothing pattern; and (c) sewing the fabric to which the at least one strain sensor has been attached.,"D03D1, A41H42, A61B5, G01L1, A41D1",2020
"Adjustable countercam device for a circular knitting machine An adjustable countercam device for a circular knitting machine is adapted to be mounted on a sinker ring (10) to cooperate with a sinker cam (132) to define a camming path of sinkers (200). The device includes a primary counter-guide plate (21) having forward and backward marginal edges (2181, 2191) serving as an outside boundary of the camming path, and an auxiliary counter-guide plate (22) having a body marginal edge (221) in alignment with the backward marginal edge (2191) in a pre-adjusted position, and disposed to restrain to make a radial displacement corresponding to the movement of the forward marginal edge (2181) so as to keep the body marginal edge (221) in line with the forward marginal edge (2181) in an adjusted position.
",D04B15,2012
"Single domain TDF-related compounds and analogs thereof The present invention relates generally to tissue differentiation factor (TDF) analogs. More specifically, the invention relates to structure-based methods and compositions useful in designing, identifying, and producing molecules which act as functional modulators of TDF-like receptors. The invention further relates to methods of detecting, preventing, and treating TDF-associated disorders.","C07K16, C07K14, C12N15, G01N33, A01K67",2011
"Method for fabricating thermally stable contacts In order to provide a thermally stable diffusion barrier for a contact, a layer of titanium (11) is formed on the patterned substrate (10). A layer of tungsten nitride (12) is formed on the titanium layer (11). After an annealing step, an interfacial layer (11') and a layer of titanium nitride (12') are formed between the substrate (10) and a tungsten layer (13'). These layers provide a diffusion barrier which is more thermally stable than a titanium nitride layer applied directly on the substrate and which permits the formation of a contact structures that can withstand subsequent high temperature steps.",H01L21,1999
"VOLUME ADJUSTMENT METHOD AND APPARATUS, TERMINAL DEVICE, AND STORAGE MEDIUM Disclosed are a volume adjustment method and apparatus, a terminal device, and a storage medium. The method comprises: upon detecting that a terminal device is playing back a sound source, obtaining audio information of the sound source; according to the audio information, determining an audio amplitude corresponding to the audio information; assigning a different amplitude adjustment coefficient according to the size of the audio amplitude, and adjusting the audio amplitude according to the amplitude adjustment coefficient. The present solution increases volume adjustment efficiency, and reduces terminal device power consumption.",G06F3,2020
"PHOTOELECTRIC CONVERSION ELEMENT, SOLAR CELL, METHOD FOR MANUFACTURING PHOTOELECTRIC CONVERSION ELEMENT, SURFACE TREATMENT AGENT, SURFACE TREATMENT COMPOSITION, AND SURFACE TREATMENT FLUID Provided is a photoelectric conversion element that uses a perovskite compound as a light absorbing agent and in which a moisture resistance variation is small; a solar cell that uses this photoelectric conversion element; a method for manufacturing a photoelectric conversion element; a surface treating agent; a composition for surface treatment; and a surface treatment solution. A photoelectric conversion element includes, in this order: a first electrode that includes a photosensitive layer containing a light absorbing agent on a conductive support; a compound layer that contains a surface treating agent and is provided on a surface of the photosensitive layer; and a second electrode, in which the light absorbing agent contains a compound having a perovskite-type crystal structure that has a cation of an element of Group 1 in the periodic table or a cationic organic group A, a cation of a metal atom M other than elements of Group 1 in the periodic table, and an anion of an anionic atom or atomic group X, and the surface treating agent contains a silyl group.","C07F7, H01L51",2019
"Harvesting machine for vegetable plants, such as for example broccoli Harvesting machine for vegetable plants, comprising a number of harvesting elements (3) arranged on a vehicle (1), each of which consists of two parallel conveyor belts (4, 5), the sections of which facing one another and running in a vertical plane form clamping surfaces which extend from a point (7) near the ground to a holding area (8) situated relatively high on the vehicle and clamp the vegetable plants between them. A cutting element (10) is arranged near the end of the clamping surfaces which is situated near the ground. The conveyor belts are each in the form of an endless chain made from panel-shaped links which are connected to one another by means of a hinge pin (16) such that the adjoining links are able to execute a limited hinged movement also relative to each other about an axis which is perpendicular to the hinge pin. Thus, the clamping surfaces can initially run horizontally over a distance (d) from the end (7) which is situated near the ground and then deflect upwards.
",A01D45,2006
"Body mount for an automobile The present invention provides a mounting fixture for mounting a vehicle body (16) to a support member or vehicle frame (14). The mounting fixture includes an upper (10) and a lower (12) assembly attached to either side of a non-circular aperture in the frame member. Each of the upper and lower assemblies includes an elongated tubular member (24,58) and a flange portion (30,70) extending therefrom wherein the lower tubular member is received in telescoping relationship within the upper tubular member. Upper and lower cushioning members (32,72) are positioned over the upper and lower tubular members and between the flanges and the frame member to provide a cushion between the frame and the vehicle body. The upper cushioning member includes a non-circular extension corresponding to the shape of the aperture in the vehicle frame whereby relative rotation between the upper cushioning member and the vehicle frame is prevented. The lower assembly is provided with a non-circular member for cooperating with a non-circular portion of the upper assembly whereby relative rotation of the lower assembly relative to the frame is also prevented. The mount assembly further includes a resilient insert which is receivable within the upper and lower tubular members for engaging ledge surfaces therein to maintain the tubular members in telescoping engagement with each other.","B62D24, F16F3",1993
"Wide band RFID system with tag on flexible label An active radio frequency identification (RFID) tag implemented on a flat label. The tag includes a battery printed on the label, a flat wide-band antenna printed on the label and a wide band communication circuit implemented as a chip inlay inside the label. The circuit is attached to the battery and to the antenna. The combined thickness of the battery, the antenna and the circuit as printed on the flexible label is less than one millimeter. The battery, the antenna and the circuit are printed on the label so as to render substantial flexibility to the RFID tag. The circuit operates at a center frequency of at least one gigahertz and a bandwidth at least twenty percent of said center frequency or a bandwidth at least 500Mhz. The tag typically includes an inaccurate clock source such as an RC circuit and does not include a crystal. Average power consumption of the battery is preferably reduced by operating the tag with a low duty ratio between an active and an inactive interval; and during the active interval transmitting in bursts while turning off parts of the tag between the bursts. The communications circuit performs timing measurements on incoming received waveforms and transmits transmit signals in response to the received waveforms with timing based on the timing measurements. The receiver circuitry locks on a repetition frequency of the incoming received waveforms, and based on the repetition frequency generates a pulse repetition frequency of the transmit signals.
",G06K19,2007
"Ballistic-resistant composite article The present invention provides an improved, composite article of manufacture which comprises a network of fibers having a tensile modulus of at least about 500 grams/denier and an energy-to-break of at least about 22 Joules/gram. An elastomeric matrix material having a tensile modulus of less than about 6,000 psi, measured at 25°C.","F41H1, C08J5",1986
"Wideband oscillator with bias compensation An RF oscillator (10) is disclosed that can be tuned to operate over a wide range of frequencies while maintaining advantageous bias conditions. The oscillator includes circuitry (32) that adjusts an oscillator bias signal in response to changes in oscillator frequency and/or ambient temperature, and does so without resort to using the same signal for both bias and frequency control. By so doing, both the frequency range and temperature range of an oscillator can be extended, while simultaneously improving the oscillator's performance.",H03L1,1992
"POWER SUPPLY PROTECTION DEVICE, POWER SUPPLY DEVICE, AND SWITCH FAULT DIAGNOSIS METHOD A power supply protective device, (1) when obtaining an open voltage in a case where a second switch is brought into a closed state and a first switch is brought into an open state during discharging of a power supply, and obtaining a close voltage in a case where the second switch is brought into the closed state and the first switch is brought into the closed state during discharging of the power supply, diagnoses the first switch as having a failure or not on the basis of the open voltage and the close voltage, and (2) when executing first instruction processing of giving a close instruction to the first switch and the second switch, if a voltage difference between a first voltage and a second voltage detected by a voltage detection unit during execution of the first instruction processing is less than a first threshold voltage, determines that the first switch has no open failure, and/or when a third voltage detected by the voltage detection unit during execution of the first instruction processing is not less than a second threshold voltage, determines that the second switch has no open failure.","H02J7, H01M10, H02H7",2017
"DEFICIENT CAPABILITY EXTRACTION DEVICE The present disclosure relates to a device for extracting deficient capability information that can be used for recruitment, training, or the like of a human resource, and the purpose thereof is to objectively extract a deficient capability of a target human resource with respect to a required capability. A matching dictionary having a tree structure is stored. A dictionary node required for a human resource in the matching dictionary is registered as a desire node 84. A technical tree 80 is generated by applying the desire node 84 to the tree structure. A dictionary node possessed by a target human resource in the matching dictionary is registered as a possession node 86. A skill tree 82 is generated by applying the possession node 86 to the tree structure. An allocated point based on an importance level and a coefficient based on a distance to the possession node 86 are given (88, 90, 92) to each of the desire nodes 84. A deficiency score for each of the desire nodes 84 is calculated by the following arithmetic operation: allocated point - (allocated point × coefficient). A combination of each of the desire nodes and the deficiency score is outputted as deficient capability information.",G06Q10,2021
"Thymic stromal lymphopoietin  (TSLP) antibodies and uses thereof The present invention relates to human thymic stroma lymphopoietin (hTSLP) antibodies and especially those which neutralize hTSLP activity. It further relates to methods for using anti-hTSLP antibody molecules in diagnosis or treatment of hTSLP related disorders, such as asthma, atopic dermatitis, allergic rhinitis, fibrosis, inflammatory bowel disease and Hodgkin's lymphoma.","A61K39, C07K16, A61P37, C12N15",2011
"INFORMATION RETRIEVAL SYSTEM AND INFORMATION PROCESSING SYSTEM The information retrieval system of the present invention comprises: transmitting means for outputting image information and image identification information indicative of the kind of the image information; display means for displaying an image based on the image information; position specifying means for specifying an arbitrary position in the image displayed on the display means and for outputting position information based on the specified position; and data holding means for holding, based on the position information and the image identification information, data associated with the image specified by the position specifying means; and the data associated with the image specified by the position specifying means is displayed on the display means.Accordingly, the position of an icon in each image of a moving picture need not be identified for each image frame, and all images need not be entered as digital data into a computer; hence, the amount of information to be managed and kept can be suppressed.",G06F17,2000
"A LAMINATED TILE AND A METHOD FOR MANUFACTURING SAME The present invention relates to a laminated tile, comprising a mutually connected solid tile body and concrete body. In the laminated tile, the concrete body has an open structure.The invention also relates to a method for manufacturing a laminated tile according to any of the preceding claims. The method comprises the steps of: - applying an adhesive to a first surface of said solid tile body, - applying a concrete mixture on top of said solid tile's first surface, said concrete having an open structure, and - hardening said concrete mixture and said adhesive for obtaining a laminated tile.
",C04B41,2017
"Stepwise assembled capture compounds comprising a cleavable function and method for isolating and/or characterizing biomolecules or biomolecule fragments, in particular proteins or protein fragments, of complex mixtures The invention relates to a process for isolating and/or characterising biomolecules and/or biomolecule fragments, in particular proteins and/or protein fragments, comprising the steps:
provision of an immobilized compound IC through the interaction of a capture compound CC and the target compound T and a carrier compound CCB, carrying out a division step, in which a cleavable function F is cleaved, and a division compound DC is produced, and
isolation and/or characterisation of said division compound DC. The invention relates further to a carrier compound CCB, a capture compound CC, a precursor compound PC and a division compound DC.
",G01N33,2015
"ISOFLAVONOID COMPOUNDS AND USE THEREOF The use of a one or more Isoflavonoid compounds which may be with an agriculturally acceptable carrier, applied prior to planting, directly to the seed, a legume crop, for the purpose of increasing yield and/or improving seed germination and/or improving earlier seed emergence and/or improving nodulation and/or increasing crop stand density and/or improving plant vigour and/or improving plant growth, and/or increasing bimoass, and/earlier fruiting, all in circumstance of seedling and plant transplanting.",A01N43,2015
"METHOD OF MACHINING A DENTAL BLOCK FOR MANUFACTURING A DENTAL RESTORATION The present invention relates to a method of machining a dental block (2) by using at least one dental tool (4) to finish or pre-finish a dental restoration (5) at least completely along the equator (5a) with or without a holding stub (5b), the method characterized by comprising: a step of moving the axis (4a) of the dental tool (4) along a path (6) with an overlaid lateral motion having an amplitude (A), and without separating an unmachined piece (2') from the rest of the dental block (2), wherein the path (6) lies away from the equator (5a) at least by an amount equal to half of the diameter of the dental tool (4) plus half of the amplitude (A) of the overlaid lateral motion.
","A61C13, G05B19, B23C3, B23Q15, A61C5, B23Q3",2021
"PROTECTIVE SHIELD FOR A DENTAL INSTRUMENT Protective shield (1) for a dental instrument (10) during a dental procedure comprising a shield body (5) having a transparent main body region(2)and a secondary body region(3). The main body region (2) comprises an opening for receiving a dental instrument(10), and the secondary body region(3)extends at an angle from the main body region(2). Further, the present invention refers to a dental instrument arrangement (100) comprising such a protective shield (1) and a dental instrument (10).
","A61C1, A61B90",2023
"AGRICULTURAL AND HORTICULTURAL INSECTICIDE COMPOSITION AND UTILIZATION METHOD THEREFOR Provided are an agricultural and horticultural insecticide composition comprising Flubendiamide and Tolfenpyrad as active ingredients; and a method for using an agricultural and horticultural insecticide composition, comprising treating insect pests directly, treating crops potentially infested with the insect pests, or treating surrounding soil or cultivation medium of the crops with an effective amount of an agricultural and horticultural insecticide composition comprising flubendiamide and tolfenpyrad as active ingredients.","A01M1, A01P7, A01N41, A01N43",2014
"SPEECH RECOGNITION METHOD AND APPARATUS, DEVICE, AND STORAGE MEDIUM A speech recognition method and apparatus, a device, and a storage medium, relating to the field of speech recognition. Speech recognition is performed using attention coding and time series decoding methods, and attention coding is performed on a speech feature matrix, such that the parallel computing of a GPU can be efficiently utilized. Decoding coded vectors according to the positions of the coded vectors in a coded matrix can reduce the amount of parameters, and the use of memory features of a speech recognition model to perform prediction according to time-series related coded vectors can improve speech recognition accuracy.",G10L15,2023
"Monitoring of rotating machines A method of machine monitoring for real-time detection and/or prediction of faults or performance variations is disclosed, comprising detecting noise emitted by the machine and obtaining a digital signal representative thereof; conducting a spectral analysis of the signal to obtain modulation spectral features; applying a mutual information feature selection technique to the modulation features to obtain a sub-set of features which provide useful information about performance and/or expected time to failure of the machine for monitoring.
",G01M13,2010
"RESERVOIR STATE MONITORING A therapeutic substance delivery apparatus (20) includes a housing (24), a reservoir (22) for holding a therapeutic substance disposed at least partially within the housing, a position sensor (30) having at least three states, a plunger (26) which is slidable within the reservoir, and a plunger-sensor engagement interface (28) coupled to the plunger within the reservoir and extending from within the reservoir to outside of the reservoir. The plunger and the position sensor are arranged such that the plunger-sensor engagement interface causes the position sensor to change states as the plunger slides within the reservoir. Control circuitry (32) identifies a new state indication of the apparatus based on (a) a change in state of the position sensor, or (b) a previous or current state of the apparatus in combination with a threshold amount of time having elapsed without the position sensor changing state. Other applications are also described.
",A61M5,2022
Total containment welding of plastic tubes Plastic tubes are welded by placing a pair of tubes in a pair of aligned holders with each tube folded toward itself. A wafer is movably mounted in the gap between the tubes and is heated to cause the ends of the tubes to melt without actually cutting through the tubes. The melted ends of opposed tubes can be pressed into contact with each other to form a welded connection. In a variation a pair of cutting blades cut the folded ends of the tubes and the cut ends are then melted by a wafer and subsequently pressed into contact with each other.,"B29C65, A61M39, B29L23",1992
"Injection needle for endoscope, and inner tube having needle body fixed to its distal end An injection needle for an endoscope includes an insertion portion including, an outer tube, and an inner tube movably arranged forward and backward within the outer tube, and which has a coil member and a needle body fixed to a distal portion of the inner tube, and an operating portion which is fixed to the outer tube and for operating to move the inner tube forward and backward, wherein the coil member is fitted on and is anchored to a portion opposed to a tip of the needle body, and the inner tube is fitted on and anchored to the coil member.
","A61M25, A61B17",2009
"Color photographic element containing a fragmentable electron donor in combination with a one equivalent coupler and starch peptized tabular emulsion for improved photographic response A multicolor photographic element comprising a support bearing a cyan dye image-forming unit comprising at least one red-sensitive silver halide emulsion layer having associated therewith at least one cyan dye-forming coupler, a magenta dye image-forming unit comprising at least one green-sensitive silver halide emulsion layer having associated therewith at least one magenta dye-forming coupler, a yellow dye image-forming unit comprising at least one blue-sensitive silver halide emulsion layer having associated therewith at least one yellow dye-forming coupler, wherein at least one of said emulsion layers comprises tabular grains having {111} major faces containing greater than 50 mole percent bromide, and accounting for greater than 50 percent total grain projected area precipitated in a peptizer that is a water dispersible cationic starch, and contains a fragmentable electron donating sensitizer.","G03C7, G03C1",2001
"VIRUS AND TUMOR THERAPEUTIC DRUG FOR SPECIFICALLY KILLING TUMOR CELLS Provided are a virus and a tumor therapeutic drug for specifically killing tumor cells. The virus is a recombinant oncolytic virus, and the genome thereof has an exogenous promoter inserted which is located upstream of an essential gene of the virus to replace the exogenous promoter of the essential gene, and to drive the expression of the essential gene in tumor cells but not in normal cells. The virus can kill a variety of tumor cells with an efficacy similar to that of the wild-type virus while it is safe to non-tumor cells. In vivo studies indicate that the oncolytic viruses provided in this disclosure can significantly inhibit tumor growth in various tumor animal models.","A61K35, A61P35, C12N7, C12N15",2022
"MEMBER SURFACE TREATMENT METHOD, AND LAMINATED MEMBER MANUFACTURING METHOD Provided are a member surface treatment method capable of obtaining a member exhibiting excellent adhesion after formation of a multilayer member, and a method for producing a multilayer member using a member treated by the surface treatment method. The member surface treatment method is a method for treating a surface of a member containing a crystallizable thermoplastic resin by a dry treatment, wherein the dry treatment is performed so as to satisfy the following conditions X and Y.
(Condition X) γd/γd0 is not less than 1.0 and less than 1.4.
(Condition Y) γp/γp0 is not less than 1.2 and less than 40.
γd0 is a non-polar component of surface free energy of the surface before the dry treatment, γd is a non-polar component of surface free energy of the surface after the dry treatment, γp0 is a polar component of surface free energy of the surface before the dry treatment, and γp is a polar component of surface free energy of the surface after the dry treatment.","C08J7, B32B27, B29C65",2018
"Data transmission rate control using a transmission control scheme suitable for subbands forming an entire band A data transmission rate control method in which a transmission control scheme used for data transmission over each channel is switched depending on a subband to which a proper transmission rate of the channel belongs, the subband being prepared by dividing an entire band by one or more boundaries. This makes it possible to solve a problem involved in a conventional systems of variations in accuracy due to the bandwidth, and an increase in the circuit scale, when the a cell rate to be controlled ranges over wide bandwidth.",H04Q11,1998
"MOSFET depletion device A p-channel depletion device (10) in a MOSFET is formed and preferably comprises a silicon substrate (12), an N-well region (14), P+ source (16) and drain (18) regions, and a polysilicon gate (20) which has been appropriately doped to be of a P- conductivity type. The resulting structure performs analogously to a depletion device formed in accordance with conventional methods wherein a depletion mask and implant are utilized, and is characterized by having a threshold voltage of approximately +250 millivolts.  ",H01L29,1991
"Ambient temperature calculating modeling method using distorted ambient temperature compensation An ambient temperature determining modeling method using distorted ambient temperature compensation may include, (A) a distortion compensation factor applying step of applying a coolant temperature, an intake air temperature, an air volume, a vehicle speed, a soak time, and a gradient to ambient temperature determining modeling, (B) an ambient temperature learning prohibiting step of checking a ""Hot Soak"" condition and a ""Long Idle"" condition, and setting ambient temperature model learning prohibition when the ""Hot Soak"" condition and the ""Long Idle"" condition are satisfied at the same time, and (C) an ambient temperature distortion removing step of determining ambient temperature update conditions when the ""Hot Soak"" condition and the ""Long Idle"" condition are not satisfied at the same time, and adding the gradient to determine an ambient temperature.
",F02D41,2015
"Internet traffic monitor A method and system (FIG. 3) for redirecting web page requests on a TCP/IP network is described. The method may be performed by a web traffic monitor (15) that intercepts at least a portion of web-based traffic (52) from a client/subscriber on a network. Based on a predetermined criterion, the web traffic monitor (15) either responds to the client/subscriber with an action other than that which was intended by the user or relays the traffic to the destination (30) originally intended by the user. The predetermined criterion may be chosen from, among others, a time period that has elapsed since the last web page request issued from the client/subscriber, a particular IP destination address requested by the client/subscriber, or the client/subscriber's IP address. Once the predetermined criterion is met, the traffic monitor (15) acts appropriately by, for example, substituting a replacement web page for the web page requested by the client/subscriber. Appropriate methods of returning the replacement web page to the client/subscriber include, but are not limited to, returning the replacement web page: (1) without ever returning the intended web page; (2) for only a predetermined period of time; or (3) in a secondary browser window that pops on top of the intended web page, which is returned in a primary browser window.","H04L29, H04L12",2000
"Image forming system and image forming method Disclosed an image forming system including: an image forming section to perform an image forming processing to form an image on a sheet to eject the image-formed sheet to an sheet ejection section; a control section to control the image forming processing by the image forming section; a specify section to specify the number of units for stop in a temporary stop mode in which the image forming processing by the image forming section is temporarily stopped, wherein the control section allows the image forming section to stop the image forming processing when the image forming processing by the image forming section reaches the number of units for stop specified with the specify section.
",G03G15,2009
